id,name,host_id,host_name,neighbourhood,neighbourhood_group,latitude,longitude,property_type,room_type,price,minimum_nights,last_review,reviews_per_month,City
24916539.0,North Side Pied-à-terre,8032665,Scott And Mindy,Neighborhood highlights,North Center,41.94306,-87.68128,Entire rental unit,Entire home/apt,185.0,1,2/23/2025,3.07,Chicago
24916674.0,Wicker Park/Bucktown Location,119863033,Jeanette,Neighborhood highlights,West Town,41.90762,-87.66768,Entire rental unit,Entire home/apt,118.0,2,12/22/2024,2.44,Chicago
24921452.0,Luxury in Logan Square -  The Pasadena Room,2141536,Asif & Karyn,Neighborhood highlights,Logan Square,41.92489,-87.7255,Private room in home,Private room,93.0,2,10/21/2024,0.87,Chicago
24922509.0,Elizabeth | Chic Artists Loft | West Loop,184698366,Coast To Cactus,Neighborhood highlights,Near West Side,41.88153,-87.65736,Entire condo,Entire home/apt,207.0,1,2/18/2025,2.64,Chicago
24931653.0,K2 4 BR Crashpad Mayfair flat,36549783,Jeffrey,Neighborhood highlights,Irving Park,41.962902,-87.735336,Entire rental unit,Entire home/apt,138.0,32,10/7/2024,0.76,Chicago
24944885.0,❤️The Perfect In Between❤️,349230569,Shaun,Neighborhood highlights,Jefferson Park,41.97059,-87.75333,Entire rental unit,Entire home/apt,68.0,2,1/1/2025,2.98,Chicago
24965357.0,Skylit Boho Retreat,1649647,Bianca,Neighborhood highlights,West Town,41.91108,-87.66765,Entire condo,Entire home/apt,170.0,2,1/1/2025,2.23,Chicago
23593143.0,CT's Art BNB in West Town's Gallery Row,176397025,Sara,Neighborhood highlights,West Town,41.89629,-87.67131,Entire loft,Entire home/apt,165.0,2,11/29/2024,1.47,Chicago
23628273.0,Cozy space in Lincoln Square,28531511,Melissa,Neighborhood highlights,Lincoln Square,41.97049,-87.69239,Entire guest suite,Entire home/apt,83.0,2,1/30/2025,2.14,Chicago
23629667.0,WESTERN AVE ARTISTS LOFTS- Park Free,103220942,Perry,Neighborhood highlights,West Town,41.90838,-87.68801,Entire rental unit,Entire home/apt,79.0,3,3/11/2025,4.98,Chicago
23669582.0,"Cool Quiet Coach House,  Private Access + Patio",11266083,Jaime,Neighborhood highlights,West Town,41.90962,-87.67477,Entire home,Entire home/apt,187.0,5,3/9/2025,3.05,Chicago
23683187.0,★FAST WIFI 1 Bedroom FREE Parking/Laundry BLUELINE,3965428,Paul,Jefferson Park,Jefferson Park,41.97732,-87.76459,Entire rental unit,Entire home/apt,65.0,32,12/1/2024,0.13,Chicago
